type_id,manufacturer,model,series
D8,Fokker,Fokker D.VIII,D8
DA5,Leeon D.Davis,Davis DA-5,DA5
DG40,Glaser-Dirks Flugzeugbau GmbH,Glaser-Dirks DG-400,DG40
DG60,Glaser-Dirks Flugzeugbau GmbH,Glaser-Dirks DG-600,DG60
DG80,DG Flugzeugbau GmbH,DG Flugzeugbau DG-800,DG80
DHA3,The De Havilland Aircraft Company Pty Ltd,de Havilland Australia DHA-3 Drover,DHA3
DISC,Schempp-Hirth Flugzeugbau GmbH,Schempp-Hirth Discus/Discus 2,DISC
DLH2,Lange Aviation GmbH,Lange E-1 Antares DLR-H2,DLH2
DLTA,Verhees Engineering,Verhees Delta,DLTA
DR1,Fokker,Fokker Dr.I,DR1
DSA1,Frank W.Smith,Smith DSA-1 Miniplane,DSA1
DSK,Richard Killingsworth,DSK Airmotive DSK-1 Hawk,DSK
DSLK,Driggs Aircraft Corporation,Driggs Skylark,DSLK
DW1,Eagle Aircraft Company,Eagle DW.1,DW1
DWD2,Constructions Aéronautiques Emile Dewoitine,Dewoitine D-26,DWD2
E230,Extra Flugzeugbau,Extra EA-230,E230
E314,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB 314 Super Tucano,E314
EAEA,Grosso Aircraft Inc,Grosso Aircraft Easy Eagle 1,EAEA
EDGE,Zivko Aeronautics Inc,Zivko Edge 540,EDGE
EGRT,Grob Aircraft,Grob D-500 Egrett 2,EGRT
ELTO,Continental Copters Inc,Continental Copters El Tomcat,ELTO
ES13,Early Bird Aircraft Company,Early Bird SPAD 13 80%,ES13
ETAR,Dassault Aviation,Dassault-Breguet Super Étendard,ETAR
EUFI,Eurofighter Jagdflugzeug GmbH,Eurofighter Typhoon,EUFI
EZHV,Blue Yonder Aviation,Blue Yonder E-Z Harvard,EZHV
EZKC,Blue Yonder Aviation,Blue Yonder E-Z King Cobra,EZKC
F1,Mitsubishi Heavy Industries,Mitsubishi F-1,F1
F104,Lockheed Corporation,Lockheed F-104 Starfighter,F104
F106,Convair,Convair F-106 Delta Dart,F106
F117,Lockheed Corporation,Lockheed F-117 Nighthawk,F117
F15,McDonnell Douglas,McDonnell Douglas F-15 Eagle,F15
F16,General Dynamics,General Dynamics F-16 Fighting Falcon,F16
F16X,General Dynamics,General Dynamics F-16XL Fighting Falcon,F16X
F18H,McDonnell Douglas,McDonnell Douglas F/A-18 Hornet,F18H
F18S,McDonnell Douglas,McDonnell Douglas F/A-18E/F Super Hornet,F18S
F2,Mitsubishi Heavy Industries,Mitsubishi F-2,F2
F22,Lockheed Martin,Lockheed Martin F-22 Raptor,F22
F35,Lockheed Martin,Lockheed Martin F-35 Lightning II,F35
F3F,Grumman Aerospace Corporation,Grumman F3F,F3F
F5,Northrop Corporation,Northrop F-5A/B Freedom Fighter,F5
F8,Vought Aircraft Industries,Vought F-8 Crusader,F8
F86,North American Aviation,North American F-86 Sabre,F86
F9F,Grumman Aerospace Corporation,Grumman F9F Panther,F9F
FB1A,Peter M.Bowers,Bowers Fly Baby 1A,FB1A
FB1B,Peter M.Bowers,Bowers Fly Baby 1B,FB1B
FC1,Chengdu Aircraft Industry Group,Chengdu FC-1 Xiaolong,FC1
FE51,Fighter Escort Wings,Fighter Escort Wings P-51,FE51
FLSS,New Kolb Aircraft Company,Kolb Flyer SS,FLSS
FOOF,Donald Stewart,Stewart JD-2 Foo Fighter,FOOF
FS51,Falconar Air Engineering,Falconar SAL P-51D Mustang,FS51
FURY,Hawker Aircraft,Hawker Sea Fury,FURY
FW90,Focke-Wulf Flugzeugbau AG,Focke-Wulf Fw 190 Würger,FW90
G164,Grumman Aerospace Corporation,Grumman G-164 Ag-Cat,G164
G59,Fiat Aviazione,Fiat G.59,G59
G64T,Grumman Aerospace Corporation,Grumman G-164 Turbo Ag-Cat,G64T
GAUN,Gloster Aircraft Company,Gloster Gauntlet,GAUN
GBSP,Glenn Beets,Beets GB Special,GBSP
GFLY,Scaled Composites,Scaled Composites 311 Global Flyer,GFLY
GLAD,Gloster Aircraft Company,Gloster Gladiator,GLAD
GNAT,Folland Aircraft,Folland Fo-144 Gnat,GNAT
HA31,Hindustan Aeronautics Limited (HAL),Hindustan HA-31 Basant,HA31
HAHU,Fred G.Sindlinger,Sindlinger HH-1 Hawker Hurricane,HAHU
HAR,Hawker Siddeley,Hawker Siddeley Harrier,HAR
HCAT,Grumman Aerospace Corporation,Grumman F6F Hellcat,HCAT
HEAD,Donald Stewart,Stewart JD-1 Headwind,HEAD
HI27,Wolf Hirth GmbH,Hirth Hi-27 Acrostar,HI27
HL2,Hugo Lambach,Lambach HL-2 Replica,HL2
HLD4,Halberstädter Flugzeug-Werke GmbH,Halberstadt D-4 Replica,HLD4
HPZL,Historical Aircraft Corporation,Historical Aircraft PZL P-11C,HPZL
HUML,J.Morry Hummel,Hummel Hummel Bird,HUML
HUNT,Hawker Aircraft,Hawker Hunter,HUNT
HURI,Hawker Aircraft,Hawker Hurricane,HURI
I153,Polikarpov,Polikarpov I-153,I153
I15B,Polikarpov,Polikarpov I-15,I15B
I16,Polikarpov,Polikarpov I-16,I16
I828,Intreprinderea de Constructii Aeronautice,ICA IAR-828,I828
IFUR,John O.Isaacs,Isaacs Fury,IFUR
IPAN,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-200/201/202 Ipanema,IPAN
IR21,Intreprinderea de Constructii Aeronautice,IAR-821,IR21
IR22,Intreprinderea de Constructii Aeronautice,IAR-822,IR22
IR27,Intreprinderea de Constructii Aeronautice,IAR-827 Dacic,IR27
IR28,Intreprinderea de Constructii Aeronautice,IAR-28MA,IR28
ISPT,John O.Isaacs,Isaacs Spitfire,ISPT
J10,Chengdu Aircraft Industry Group,Chengdu J-10,J10
J4B2,Barnett Rotorcraft,Barnett J4B2,J4B2
J8A,Shenyang Aircraft Corporation,Shenyang J-8,J8A
J8B,Shenyang Aircraft Corporation,Shenyang J-8B,J8B
JACE,Ace Aircraft Manufacturing Inc,Ace Junior Ace,JACE
JAGR,SEPECAT (Société Européenne de Production de l'Avion ECAT),SEPECAT Jaguar,JAGR
JAJ5,Alpha,Alpha J-5 Marco,JAJ5
JT2,John F.Taylor,Taylor JT-2 Titch,JT2
JUN1,Rim Kaminskas,Kaminskas RK-1 Jungster 1,JUN1
JUN2,Rim Kaminskas,Kaminskas RK-2 Jungster 2,JUN2
KA50,Kamov,Kamov Ka-50 Werewolf,KA50
KELA,James J.Keleher,Keleher Lark,KELA
KFIR,Israel Aerospace Industries (IAI),IAI Kfir,KFIR
KITI,Mitchell-Procter Aircraft Ltd,Mitchell-Procter Kittiwake,KITI
KMAX,Kaman Aerospace Corporation,Kaman K-1200 K-Max,KMAX
KNTW,Vernon W.Payne,Payne Knight Twister,KNTW
KR1,Rand Robinson Engineering Inc,Rand KR-1,KR1
KR2,Rand Robinson Engineering Inc,Rand KR-2,KR2
KRAG,SOKO Air Mostar,SOKO J-20 Kraguj,KRAG
KRIC,Flight Level Six-Zero Inc,FLSZ DK-1 Der Kricket,KRIC
KZ8,Skandinavisk Aero Industri AS,SAI KZ-8,KZ8
LAE1,Lange Aviation GmbH,Lange E-1 Antares 20E,LAE1
LAKR,Laser Aerobatics,Laser Akro Z,LAKR
LBUG,Reflex Fiberglass Works Inc,Reflex Lightning Bug,LBUG
LCA,Aeronautical Development Agency (ADA),HAL Tejas,LCA
LK17,Lietuviska Aviacine Konstrukcija,Lak LAK-17AT,LK17
LK19,Lietuviska Aviacine Konstrukcija,Lak LAK-19T,LK19
LOVE,"Neal V.Loving, Wayne Aircraft Company",Loving-Wayne WR-1 Love,LOVE
LS10,DG Flugzeugbau GmbH,DG Flugzeugbau LS-10,LS10
LS8,Rolladen-Schneider Flugzeugbau,Rolladen-Schneider LS-8,LS8
LS9,Rolladen-Schneider Flugzeugbau,Rolladen-Schneider LS-9,LS9
LTNG,English Electric Aviation Ltd,English Electric Lightning,LTNG
M17,Myasishchev OKB,Myasishchev M-17 Stratosfera,M17
M18,Polskie Zaklady Lotnicze Sp z oo,PZL-Mielec M-18 Dromader,M18
M18T,Polskie Zaklady Lotnicze Sp z oo,PZL-Mielec M-18 Turbine Dromader,M18T
M21,Polskie Zaklady Lotnicze Sp z oo,PZL-Mielec M-21 Dromader Mini,M21
M55,Myasishchev OKB,Myasishchev M-55 Geophysica,M55
MA1,Emair Inc,Emair MA-1 Paymaster,MA1
MAVR,Aeronautical Engineers Australia Research Pty Ltd,Aea Maverick,MAVR
MC10,Michel Colomban,Colomban MC-10 Cricri,MC10
MCOU,Chris Tena Aircraft Association,Chris Tena Mini Coupe,MCOU
ME08,Messerschmitt AG,Messerschmitt Bf 108 Taifun,ME08
ME09,Messerschmitt AG,Messerschmitt Bf 109,ME09
ME62,Messerschmitt AG,Messerschmitt Me 262 Schwalbe / Sturmvogel,ME62
